event_id,role,cdk,name,normalized_name
AP_vishak_1981:1991,parent,AP_vishak_1981,Vishakhapatnam,vishakhapatnam
AP_vishak_1981:1991,child,AP_visakh_1961,Visakhapatnam,visakhapatnam
AR_tirap_1971:1991,parent,AR_tirap_1971,Tirap,tirap
AR_tirap_1971:1991,child,AR_changl_1991,Changlang,changlang
AR_westka_1981:1991,parent,AR_westka_1981,West Kameng,west kameng
AR_westka_1981:1991,child,AR_tawang_1991,Tawang,tawang
AS_cachar_1981:1991,parent,AS_cachar_1981,Cachar,cachar
AS_cachar_1981:1991,child,AS_hailak_1991,Hailakandi,hailakandi
AS_cachar_1981:1991,child,AS_karimg_1991,Karimganj,karimganj
AS_darran_1981:1991,parent,AS_darran_1981,Darrang,darrang
AS_darran_1981:1991,child,AS_sonitp_1991,Sonitpur,sonitpur
AS_dibrug_1981:1991,parent,AS_dibrug_1981,Dibrugarh,dibrugarh
AS_dibrug_1981:1991,child,AS_tinsuk_1991,Tinsukia,tinsukia
AS_goalpa_1981:1991,parent,AS_goalpa_1981,Goalpara,goalpara
AS_goalpa_1981:1991,child,AS_bongai_1991,Bongaigaon,bongaigaon
AS_goalpa_1981:1991,child,AS_dhubur_1991,Dhuburi,dhuburi
AS_goalpa_1981:1991,child,AS_kokraj_1991,Kokrajhar,kokrajhar
AS_kamrup_1981:1991,parent,AS_kamrup_1981,Kamrup,kamrup
AS_kamrup_1981:1991,child,AS_barpet_1991,Barpeta,barpeta
AS_kamrup_1981:1991,child,AS_nalbar_1991,Nalbari,nalbari
AS_lakhim_1971:1991,parent,AS_lakhim_1971,Lakhimpur,lakhimpur
AS_lakhim_1971:1991,child,AS_dhemaj_1991,Dhemaji,dhemaji
AS_nagaon_1981:1991,parent,AS_nagaon_1981,Nagaon,nagaon
AS_nagaon_1981:1991,child,AS_mariga_1991,Marigaon,marigaon
AS_sivasa_1981:1991,parent,AS_sivasa_1981,Sibsagar,sibsagar
AS_sivasa_1981:1991,child,AS_golagh_1991,Golaghat,golaghat
AS_sivasa_1981:1991,child,AS_jorhat_1991,Jorhat,jorhat
BR_gaya_1971:1991,parent,BR_gaya_1971,Gaya,gaya
BR_gaya_1971:1991,child,BR_jehana_1991,Jehanabad,jehanabad
BR_munger_1981:1991,parent,BR_munger_1981,Munger,munger
BR_munger_1981:1991,child,BR_khagar_1991,Khagaria,khagaria
BR_purnia_1981:1991,parent,BR_purnia_1981,Purnia,purnia
BR_purnia_1981:1991,child,BR_araria_1991,Araria,araria
BR_purnia_1981:1991,child,BR_kishan_1991,Kishanganj,kishanganj
BR_sahars_1981:1991,parent,BR_sahars_1981,Saharsa,saharsa
BR_sahars_1981:1991,child,BR_madhep_1991,Madhepura,madhepura
GA_goa_1981:1991,parent,GA_goa_1981,Goa,goa
GA_goa_1981:1991,child,GA_northg_1991,North Goa,north goa
GA_goa_1981:1991,child,GA_southg_1991,South Goa,south goa
HR_ambala_1951:1991,parent,HR_ambala_1951,Ambala,ambala
HR_ambala_1951:1991,child,HR_yamuna_1991,Yamunanagar,yamunanagar
HR_karnal_1951:1991,parent,HR_karnal_1951,Karnal,karnal
HR_karnal_1951:1991,child,HR_panipa_1991,Panipat,panipat
HR_kuruks_1981:1991,parent,HR_kuruks_1981,Kurukshetra,kurukshetra
HR_kuruks_1981:1991,child,HR_kaitha_1991,Kaithal,kaithal
HR_mahend_1951:1991,parent,HR_mahend_1951,Mahendragarh,mahendragarh
HR_mahend_1951:1991,child,HR_rewari_1991,Rewari,rewari
JH_psingh_1981:1991,parent,JH_psingh_1981,Pashchimi Singhbhum,pashchimi singhbhum
JH_psingh_1981:1991,child,JH_purbis_1991,Purbi Singhbhum,purbi singhbhum
JH_ranchi_1981:1991,parent,JH_ranchi_1981,Ranchi,ranchi
JH_ranchi_1981:1991,child,JH_gumla_1991,Gumla,gumla
JH_ranchi_1981:1991,child,JH_lohard_1991,Lohardaga,lohardaga
JH_santha_1971:1991,parent,JH_santha_1971,Santal Parganas,santal parganas
JH_santha_1971:1991,child,JH_deogha_1991,Deoghar,deoghar
JH_santha_1971:1991,child,JH_dumka_1991,Dumka,dumka
JH_santha_1971:1991,child,JH_godda_1991,Godda,godda
JH_santha_1971:1991,child,JH_sahibg_1991,Sahibganj,sahibganj
KL_alappu_1961:1991,parent,KL_alappu_1961,Alleppey,alleppey
KL_alappu_1961:1991,child,KL_pathan_1991,Pathanamthitta,pathanamthitta
KL_idukki_1981:1991,parent,KL_idukki_1981,Idukki,idukki
KL_idukki_1981:1991,child,KL_pathan_1991,Pathanamthitta,pathanamthitta
KL_kannur_1961:1991,parent,KL_kannur_1961,Cannanore,cannanore
KL_kannur_1961:1991,child,KL_kasarg_1991,Kasargod,kasargod
KL_kollam_1951:1991,parent,KL_kollam_1951,Quilon,quilon
KL_kollam_1951:1991,child,KL_pathan_1991,Pathanamthitta,pathanamthitta
KL_palgha_1961:1991,parent,KL_palgha_1961,Palghat,palghat
KL_palgha_1961:1991,child,KL_palakk_1991,Palakkad,palakkad
MH_aurang_1981:1991,parent,MH_aurang_1981,Aurangabad,aurangabad
MH_aurang_1981:1991,child,MH_jalna_1991,Jalna,jalna
MH_chandr_1961:1991,parent,MH_chandr_1961,Chanda,chanda
MH_chandr_1961:1991,child,MH_gadchi_1991,Gadchiroli,gadchiroli
MH_dharas_1981:1991,parent,MH_dharas_1981,Osmanabad,osmanabad
MH_dharas_1981:1991,child,MH_latur_1991,Latur,latur
MH_ratnag_1981:1991,parent,MH_ratnag_1981,Ratnagiri,ratnagiri
MH_ratnag_1981:1991,child,MH_sindhu_1991,Sindhudurg,sindhudurg
MN_manipu_1951:1991,parent,MN_manipu_1951,Manipur,manipur
