event_id,child_cdk,child_name,metric_basis,weight_value,weight_method,weight_confidence,source_year,basis,is_fallback
NL_tuensa_1951:1961,NL_mokokc_1961,Mokokchung,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
NL_tuensa_1951:1961,NL_mokokc_1961,Mokokchung,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
RJ_kotah_1951:1961,RJ_kota_1951,Kota,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
RJ_kotah_1951:1961,RJ_kota_1951,Kota,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
TG_warang_1951:1961,TG_khamma_1961,Khammam,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
TG_warang_1951:1961,TG_khamma_1961,Khammam,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
TN_thiruv_1951:1961,TN_kanniy_1961,Kanyakumari,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
TN_thiruv_1951:1961,TN_kanniy_1961,Kanyakumari,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
UK_almora_1951:1961,UK_pithor_1961,Pithoragarh,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
UK_almora_1951:1961,UK_pithor_1961,Pithoragarh,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
UK_garhwa_1951:1961,UK_chamol_1961,Chamoli,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
UK_garhwa_1951:1961,UK_chamol_1961,Chamoli,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
UK_tehri_1951:1961,UK_uttark_1961,Uttar Kashi,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
UK_tehri_1951:1961,UK_uttark_1961,Uttar Kashi,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_lohitf_1961:1971,AR_lohit_1971,Lohit,area,1.0,equal_split_fallback,0.35,1971,equal_split_fallback,True
AR_lohitf_1961:1971,AR_lohit_1971,Lohit,production,1.0,equal_split_fallback,0.35,1971,equal_split_fallback,True
AR_siangf_1961:1971,AR_siang_1971,Siang,area,1.0,equal_split_fallback,0.35,1971,equal_split_fallback,True
AR_siangf_1961:1971,AR_siang_1971,Siang,production,1.0,equal_split_fallback,0.35,1971,equal_split_fallback,True
AR_tirapf_1951:1971,AR_tirap_1971,Tirap,area,1.0,equal_split_fallback,0.35,1971,equal_split_fallback,True
AR_tirapf_1951:1971,AR_tirap_1971,Tirap,production,1.0,equal_split_fallback,0.35,1971,equal_split_fallback,True
AS_united_1961:1971,AS_mikirh_1971,Mikir Hills,area,0.5,equal_split_fallback,0.35,1971,equal_split_fallback,True
AS_united_1961:1971,AS_mikirh_1971,Mikir Hills,production,0.5,equal_split_fallback,0.35,1971,equal_split_fallback,True
